자치구별(1),자치구별(2),시가화면적별(1),시가화면적별(2),2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
서울시,관악구,행정구역면적 (㎢),소계,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57
서울시,관악구,시가화면적 현황,시가화면적 (㎢),11.92,11.92,11.92,11.92,11.92,11.91,11.91,11.91,11.91,11.91,11.91,11.91,15.73,15.72,15.72,15.72,15.72
서울시,관악구,시가화면적 현황,시가화면적비율 (%),40.31,40.31,40.31,40.31,40.31,40.27,40.27,40.27,40.27,40.26,40.26,40.27,53.18,53.16,53.16,53.16,53.16
서울시,서초구,행정구역면적 (㎢),소계,47.03,47.04,47.03,47.03,47,47,47,47,47,47,47,47,47,46.98,46.99,46.98,46.98
서울시,서초구,시가화면적 현황,시가화면적 (㎢),18.72,18.73,18.72,19.05,19.05,19.05,19.25,19.63,19.63,19.63,20.03,20.03,20.19,20.21,20.21,20.21,20.21
서울시,서초구,시가화면적 현황,시가화면적비율 (%),39.81,39.81,39.81,40.5,40.53,40.52,40.95,41.75,41.75,41.76,42.61,42.61,42.97,43.01,43.01,43.01,43.01
서울시,강남구,행정구역면적 (㎢),소계,39.54,39.54,39.54,39.54,39.54,39.54,39.54,39.51,39.51,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5
서울시,강남구,시가화면적 현황,시가화면적 (㎢),22.84,22.95,22.95,23.17,23.17,23.17,23.17,23.7,24.34,24.34,24.34,24.34,25.68,25.87,25.87,26.17,26.17
서울시,강남구,시가화면적 현황,시가화면적비율 (%),57.75,58.05,58.05,58.58,58.59,58.59,58.59,59.98,61.59,61.62,61.62,61.62,65,65.48,65.48,66.26,66.26
서울시,송파구,행정구역면적 (㎢),소계,33.89,33.88,33.88,33.88,33.88,33.88,33.88,33.88,33.88,33.88,33.87,33.88,33.88,33.88,33.87,33.87,33.87
서울시,송파구,시가화면적 현황,시가화면적 (㎢),22.24,22.24,22.75,22.99,23.53,23.57,23.57,23.57,23.57,23.57,23.74,23.75,23.3,23.3,23.3,23.3,23.3
서울시,송파구,시가화면적 현황,시가화면적비율 (%),65.63,65.65,67.15,67.86,69.46,69.58,69.58,69.58,69.58,69.58,70.07,70.1,68.78,68.78,68.78,68.79,68.79
서울시,강동구,행정구역면적 (㎢),소계,24.58,24.58,24.58,24.58,24.58,24.58,24.58,24.58,24.59,24.59,24.59,24.59,24.59,24.59,24.59,24.59,24.59
서울시,강동구,시가화면적 현황,시가화면적 (㎢),12.67,13.35,13.35,13.69,13.69,13.69,13.69,13.69,13.69,13.74,14.66,14.64,13.65,13.65,13.65,13.65,13.65
서울시,강동구,시가화면적 현황,시가화면적비율 (%),51.55,54.33,54.33,55.71,55.71,55.72,55.71,55.7,55.7,55.89,59.61,59.56,55.5,55.5,55.5,55.49,55.49
